naics_2_digits,naics_sector,naics_3_digits,naics_subsector,naics_4_digits,naics_industry_group,naics_5_digits,naics_industry
48,Transportation and Warehousing,486,Pipeline Transportation,4862,Pipeline Transportation of Natural Gas,48621,Pipeline Transportation of Natural Gas
51,Information,518,"Data Processing, Hosting, and Related Services",5181,Internet Service Providers and Web Search Portals,51811,Internet Service Providers and Web Search Portals
53,Real Estate and Rental and Leasing,531,Real Estate,5313,Activities Related to Real Estate,53132,Offices of Real Estate Appraisers
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5419,"Other Professional, Scientific, and Technical Services",54192,Photographic Services
56,Administrative and Support and Waste Management and Remediation Services,562,Waste Management and Remediation Services,5622,Waste Treatment and Disposal,56221,Waste Treatment and Disposal
71,"Arts, Entertainment, and Recreation",713,"Amusement, Gambling, and Recreation Industries",7132,Gambling Industries,71321,Casinos (except Casino Hotels)
81,Other Services (except Public Administration),812,Personal and Laundry Services,8121,Personal Care Services,81211,"Hair, Nail, and Skin Care Services"
11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11112,Oilseed (except Soybean) Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
31,Manufacturing,311,Food Manufacturing,3119,Other Food Manufacturing,31191,Snack Food Manufacturing
32,Manufacturing,321,Wood Product Manufacturing,3211,Sawmills and Wood Preservation,32111,Sawmills and Wood Preservation
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,325,Chemical Manufacturing,3259,Other Chemical Product and Preparation Manufacturing,32599,All Other Chemical Product and Preparation Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3323,Architectural and Structural Metals Manufacturing,33231,Plate Work and Fabricated Structural Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33329,Other Industrial Machinery Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33522,Major Household Appliance Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3391,Medical Equipment and Supplies Manufacturing,33911,Medical Equipment and Supplies Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4249,Miscellaneous Nondurable Goods Merchant Wholesalers,42492,"Book, Periodical, and Newspaper Merchant Wholesalers"
45,Retail Trade,452,General Merchandise Stores,4522,Department Stores,45221,Department Stores
48,Transportation and Warehousing,485,Transit and Ground Passenger Transportation,4855,Charter Bus Industry,48551,Charter Bus Industry
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5241,Insurance Carriers,52412,"Direct Insurance (except Life, Health, and Medical) Carriers"
54,"Professional, Scientific, and Technical Services",541,"Professional, Scientific, and Technical Services",5414,Specialized Design Services,54141,Interior Design Services
62,Health Care and Social Assistance,621,Ambulatory Health Care Services,6213,Offices of Other Health Practitioners,62134,"Offices of Physical, Occupational and Speech Therapists, and Audiologists"
81,Other Services (except Public Administration),812,Personal and Laundry Services,8122,Death Care Services,81221,Funeral Homes and Funeral Services
92,Public Administration,922,"Justice, Public Order, and Safety Activities",9221,"Justice, Public Order, and Safety Activities",92219,"Other Justice, Public Order, and Safety Activities"
81,Other Services (except Public Administration),812,Personal and Laundry Services,8121,Personal Care Services,81211,"Hair, Nail, and Skin Care Services"
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,11211,"Beef Cattle Ranching and Farming, including Feedlots"
22,Utilities,221,Utilities,2213,"Water, Sewage and Other Systems",22131,Water Supply and Irrigation Systems
23,Construction,238,Specialty Trade Contractors,2383,Building Finishing Contractors,23835,Finish Carpentry Contractors
31,Manufacturing,311,Food Manufacturing,3119,Other Food Manufacturing,31199,All Other Food Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3151,Apparel Knitting Mills,31519,Other Apparel Knitting Mills
31,Manufacturing,316,Leather and Allied Product Manufacturing,3162,Footwear Manufacturing,31621,Footwear Manufacturing
32,Manufacturing,325,Chemical Manufacturing,3251,Basic Chemical Manufacturing,32519,Other Basic Organic Chemical Manufacturing
32,Manufacturing,327,Nonmetallic Mineral Product Manufacturing,3271,Clay Product and Refractory Manufacturing,32712,Clay Building Material and Refractories Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33151,Ferrous Metal Foundries
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3323,Architectural and Structural Metals Manufacturing,33231,Plate Work and Fabricated Structural Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33324,Industrial Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3345,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",33451,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3353,Electrical Equipment Manufacturing,33531,Electrical Equipment Manufacturing
33,Manufacturing,337,Furniture and Related Product Manufacturing,3379,Other Furniture Related Product Manufacturing,33791,Mattress Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4239,Miscellaneous Durable Goods Merchant Wholesalers,42399,Other Miscellaneous Durable Goods Merchant Wholesalers
44,Retail Trade,444,Building Material and Garden Equipment and Supplies Dealers,4441,Building Material and Supplies Dealers,44412,Paint and Wallpaper Stores
45,Retail Trade,452,General Merchandise Stores,4521,Department Stores,45211,Department Stores
49,Transportation and Warehousing,493,Warehousing and Storage,4931,Warehousing and Storage,49313,Farm Product Warehousing and Storage
52,Finance and Insurance,525,"Funds, Trusts, and Other Financial Vehicles",5251,Insurance and Employee Benefit Funds,52512,Health and Welfare Funds
56,Administrative and Support and Waste Management and Remediation Services,561,Administrative and Support Services,5619,Other Support Services,56192,Convention and Trade Show Organizers
71,"Arts, Entertainment, and Recreation",711,"Performing Arts, Spectator Sports, and Related Industries",7112,Spectator Sports,71121,Spectator Sports
92,Public Administration,921,"Executive, Legislative, and Other General Government Suppor",9211,"Executive, Legislative, and Other General Government Suppor",92119,Other General Government Suppor
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1121,Cattle Ranching and Farming,11213,Dual-Purpose Cattle Ranching and Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21239,Other Nonmetallic Mineral Mining and Quarrying
23,Construction,238,Specialty Trade Contractors,2389,Other Specialty Trade Contractors,23891,Site Preparation Contractors
31,Manufacturing,313,Textile Mills,3132,Fabric Mills,31321,Broadwoven Fabric Mills
32,Manufacturing,322,Paper Manufacturing,3222,Converted Paper Product Manufacturing,32229,Other Converted Paper Product Manufacturing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3261,Plastics Product Manufacturing,32619,Other Plastics Product Manufacturing
33,Manufacturing,332,Fabricated Metal Product Manufacturing,3326,Spring and Wire Product Manufacturing,33261,Spring and Wire Product Manufacturing
33,Manufacturing,333,Machinery Manufacturing,3335,Metalworking Machinery Manufacturing,33351,Metalworking Machinery Manufacturing
33,Manufacturing,335,"Electrical Equipment, Appliance, and Component Manufacturing",3352,Household Appliance Manufacturing,33522,Major Household Appliance Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33634,Motor Vehicle Brake System Manufacturing
42,Wholesale Trade,423,"Merchant Wholesalers, Durable Goods",4233,Lumber and Other Construction Materials Merchant Wholesalers,42339,Other Construction Material Merchant Wholesalers
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4249,Miscellaneous Nondurable Goods Merchant Wholesalers,42499,Other Miscellaneous Nondurable Goods Merchant Wholesalers
45,Retail Trade,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",4511,"Sporting Goods, Hobby, and Musical Instrument Stores",45112,"Hobby, Toy, and Game Stores"
48,Transportation and Warehousing,488,Support Activities for Transportation,4881,Support Activities for Air Transportation,48811,Airport Operations
52,Finance and Insurance,522,Credit Intermediation and Related Activities,5221,Depository Credit Intermediation,52211,Commercial Banking
52,Finance and Insurance,524,Insurance Carriers and Related Activities,5242,"Agencies, Brokerages, and Other Insurance Related Activities",52429,Other Insurance Related Activities
55,Management of Companies and Enterprises,551,Management of Companies and Enterprises,5511,Management of Companies and Enterprises,55111,Management of Companies and Enterprises
62,Health Care and Social Assistance,623,Nursing and Residential Care Facilities,6231,Nursing Care Facilities (Skilled Nursing Facilities),62311,Nursing Care Facilities (Skilled Nursing Facilities)
81,Other Services (except Public Administration),811,Repair and Maintenance,8111,Automotive Repair and Maintenance,81119,Other Automotive Repair and Maintenance
81,Other Services (except Public Administration),812,Personal and Laundry Services,8129,Other Personal Services,81292,Photofinishing
11,"Agriculture, Forestry, Fishing and Hunting",112,Animal Production and Aquaculture,1124,Sheep and Goat Farming,11242,Goat Farming
21,"Mining, Quarrying, and Oil and Gas Extraction",212,Mining (except Oil and Gas),2123,Nonmetallic Mineral Mining and Quarrying,21232,"Sand, Gravel, Clay, and Ceramic and Refractory Minerals Mining and Quarrying"
31,Manufacturing,311,Food Manufacturing,3112,Grain and Oilseed Milling,31121,Flour Milling and Malt Manufacturing
31,Manufacturing,312,Beverage and Tobacco Product Manufacturing,3121,Beverage Manufacturing,31211,Soft Drink and Ice Manufacturing
31,Manufacturing,315,Apparel Manufacturing,3152,Cut and Sew Apparel Manufacturing,31523,Womens and Girls Cut and Sew Apparel Manufacturing
32,Manufacturing,323,Printing and Related Support Activities,3231,Printing and Related Support Activities,32311,Printing
32,Manufacturing,326,Plastics and Rubber Products Manufacturing,3262,Rubber Product Manufacturing,32621,Tire Manufacturing
33,Manufacturing,331,Primary Metal Manufacturing,3315,Foundries,33152,Nonferrous Metal Foundries
33,Manufacturing,333,Machinery Manufacturing,3332,Industrial Machinery Manufacturing,33329,Other Industrial Machinery Manufacturing
33,Manufacturing,334,Computer and Electronic Product Manufacturing,3344,Semiconductor and Other Electronic Component Manufacturing,33441,Semiconductor and Other Electronic Component Manufacturing
33,Manufacturing,336,Transportation Equipment Manufacturing,3363,Motor Vehicle Parts Manufacturing,33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
33,Manufacturing,339,Miscellaneous Manufacturing,3399,Other Miscellaneous Manufacturing,33995,Sign Manufacturing
42,Wholesale Trade,424,"Merchant Wholesalers, Nondurable Goods",4244,Grocery and Related Product Merchant Wholesalers,42443,Dairy Product (except Dried or Canned) Merchant Wholesalers
